timestamp	name	composite	bar_sharpe_wf	bar_sharpe_val	decay	maxdd_wf	maxdd_val	trades_wf	trades_val	fold_std	neg_folds	profit_factor	calmar	n_params	status	source
2026-03-14T22:40:22.385122+00:00	ema_21_51_hh_hl_close35_v1	0.730918	2.280617	1.205615	0.528635	0.003291	0.040613	30	37	1.166535	0.000000	3.459694	14.025514	6	PASS	autodegen-scout-1
2026-03-14T22:44:45.609432+00:00	ema_21_51_hh_hl_vol75_v1	0.757356	2.447409	1.268742	0.518402	0.003830	0.046036	30	33	0.877188	0.000000	4.124137	12.746022	7	PASS	autodegen-scout-1
2026-03-14T22:46:48.430467+00:00	ema_21_51_hh_hl_vol76_v1	0.757356	2.447409	1.268742	0.518402	0.003830	0.046036	30	33	0.877188	0.000000	4.124137	12.746022	7	PASS	autodegen-scout-1
2026-03-14T22:30:50.293473+00:00	entropy_hhhl_loose_v1	0.742777	2.370766	1.216682	0.513202	0.004248	0.038498	40	43	1.145117	0.000000	2.912984	12.043191	8	PASS	autodegen-scout-2
2026-03-14T22:31:40.944403+00:00	entropy_hhhl_v2	0.742777	2.370766	1.216682	0.513202	0.004248	0.038498	40	43	1.145117	0.000000	2.912984	12.043191	8	PASS	autodegen-scout-2
2026-03-14T22:34:02.754921+00:00	entropy36_hhhl_v1	0.681972	1.937376	1.347665	0.695613	0.004006	0.038498	38	42	0.960314	0.000000	2.547010	10.407908	8	PASS	autodegen-scout-2
2026-03-14T22:34:29.757084+00:00	entropy36_hhhl_v1	0.742777	2.370766	1.216682	0.513202	0.004248	0.038498	40	43	1.145117	0.000000	2.912984	12.043191	8	PASS	autodegen-scout-2
2026-03-14T22:37:15.730092+00:00	entropy36_hhhl_ema21_v1	0.732644	2.326496	1.230588	0.528945	0.004512	0.038916	40	44	1.055090	0.000000	2.808841	11.071773	8	PASS	autodegen-scout-2
2026-03-14T22:39:05.536726+00:00	entropy12_hhhl_v1	0.742777	2.370766	1.216682	0.513202	0.004248	0.038498	40	43	1.145117	0.000000	2.912984	12.043191	8	PASS	autodegen-scout-2
2026-03-14T22:21:28.951747+00:00	ema_20_50_hh_hl_lb8_v1	0.742777	2.370766	1.216682	0.513202	0.004248	0.038498	40	43	1.145117	0.000000	2.912984	12.043191	5	PASS	autodegen-scout-3
2026-03-14T22:23:59.064793+00:00	vwap_trend_v1	0.742777	2.370766	1.216682	0.513202	0.004248	0.038498	40	43	1.145117	0.000000	2.912984	12.043191	6	PASS	autodegen-scout-3
2026-03-14T22:30:23.031307+00:00	ema_21_50_hh_hl_v1	0.732644	2.326496	1.230588	0.528945	0.004512	0.038916	40	44	1.055090	0.000000	2.808841	11.071773	5	PASS	autodegen-scout-3
2026-03-14T22:32:34.455090+00:00	ema_20_50_vol_size_v1	0.765258	2.385969	1.495672	0.626862	0.004637	0.045966	40	43	1.245226	0.000000	2.953860	11.819967	8	PASS	autodegen-scout-3
2026-03-14T22:33:09.914152+00:00	ema_20_50_vol_size_v1	0.764897	2.383852	1.503032	0.630506	0.004745	0.046105	40	43	1.238812	0.000000	2.938790	11.865427	8	PASS	autodegen-scout-3
2026-03-14T22:33:52.280150+00:00	ema_20_50_vol_size_v1	0.765258	2.385969	1.495672	0.626862	0.004637	0.045966	40	43	1.245226	0.000000	2.953860	11.819967	8	PASS	autodegen-scout-3
2026-03-14T22:34:15.971144+00:00	ema_20_50_vol_size_v1	0.761371	2.391646	1.439758	0.601995	0.004530	0.044141	40	43	1.221540	0.000000	2.937026	11.825685	8	PASS	autodegen-scout-3
2026-03-14T22:34:32.309648+00:00	ema_20_50_vol_size_v1	0.783818	2.484892	1.563663	0.629268	0.004501	0.046388	40	43	1.205434	0.000000	3.165316	12.814529	8	PASS	autodegen-scout-3
2026-03-14T22:34:47.202587+00:00	ema_20_50_vol_size_lb12_v1	0.783818	2.484892	1.563663	0.629268	0.004501	0.046388	40	43	1.205434	0.000000	3.165316	12.814529	8	PASS	autodegen-scout-3
2026-03-14T22:35:12.850164+00:00	ema_20_50_vol_size_lb6_v1	0.780401	2.454304	1.571460	0.640287	0.004555	0.046852	40	43	1.181971	0.000000	3.099281	12.640564	8	PASS	autodegen-scout-3
2026-03-14T22:35:26.842156+00:00	ema_20_50_vol_size_lb18_v1	0.773861	2.407122	1.544965	0.641831	0.004635	0.047515	40	43	1.195800	0.000000	3.007219	12.083498	8	PASS	autodegen-scout-3
2026-03-14T22:35:55.684982+00:00	ema_20_50_vol_size_z15_v1	0.781948	2.462911	1.578376	0.640858	0.004543	0.047664	40	43	1.207010	0.000000	3.186939	12.811252	8	PASS	autodegen-scout-3
